name,slug,description,assets,facets,sku,optionGroups,optionValues,taxCategory,trackInventory,price,stockOnHand,variantAssets,variantFacets
Nutella Kinder Bueno Crepe,nutella-kinder-bueno-crepe,,Kinder nutella.jpg,main:sweet-classic-crepes|sweet-classic-crepes:classic-nutella-crepes,MOUA14,branch,mount-lavinia,Zero,,1140,30,,
,,,,,MAHA14,branch,maharagama,Zero,,1140,30,,
,,,,,KOLA14,branch,kollupitiya,Zero,,1140,30,,
,,,,,BAMA14,branch,bambalapitiya,Zero,,1140,30,,
,,,,,OGFA14,branch,one-galle-face,Zero,,1140,30,,
Nutella Base Spread Only Crepe,nutella-base-spread-only-crepe,,nuttella.jpg,main:sweet-classic-crepes|sweet-classic-crepes:classic-nutella-crepes,MOUA15,branch,mount-lavinia,Zero,,750,30,,
,,,,,MAHA15,branch,maharagama,Zero,,750,30,,
,,,,,KOLA15,branch,kollupitiya,Zero,,750,30,,
,,,,,BAMA15,branch,bambalapitiya,Zero,,750,30,,
,,,,,OGFA15,branch,one-galle-face,Zero,,750,30,,
Milk Choc Banana Crepe,milk-choc-banana-crepe,,banana Milk choc.jpg,main:sweet-classic-crepes|sweet-classic-crepes:classic-milk-choc-crepes,MOUB1,branch,mount-lavinia,Zero,,530,30,,
,,,,,MAHB1,branch,maharagama,Zero,,530,30,,
,,,,,KOLB1,branch,kollupitiya,Zero,,530,30,,
,,,,,BAMB1,branch,bambalapitiya,Zero,,530,30,,
,,,,,OGFB1,branch,one-galle-face,Zero,,530,30,,
Milk Choc Strawberry Crepe,milk-choc-strawberry-crepe,,Strawberry milk choc.jpg,main:sweet-classic-crepes|sweet-classic-crepes:classic-milk-choc-crepes,MOUB2,branch,mount-lavinia,Zero,,650,30,,
,,,,,MAHB2,branch,maharagama,Zero,,650,30,,
,,,,,KOLB2,branch,kollupitiya,Zero,,650,30,,
,,,,,BAMB2,branch,bambalapitiya,Zero,,650,30,,
,,,,,OGFB2,branch,one-galle-face,Zero,,650,30,,
Milk Choc Cornflakes Crepe,milk-choc-cornflakes-crepe,,Cornflakes milk choc.jpg,main:sweet-classic-crepes|sweet-classic-crepes:classic-milk-choc-crepes,MOUB3,branch,mount-lavinia,Zero,,530,30,,
