Statistical profiling result from isolate-0x120008000-37491-v8.log, (27570 ticks, 334 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     16    0.1%    0.1%  RegExp: ([ =(]|^.{0})channel\.(defaultTaxZone|defaultShippingZone|defaultTaxZone\.id|defaultShippingZone\.id|createdAt|updatedAt|code|token|defaultLanguageCode|currencyCode|pricesIncludeTax|id|defaultTaxZoneId|defaultShippingZoneId|customFieldsIsshopactive|customFieldsOpeningtime|customFieldsDefaultopeningtime|customFieldsIsopen|customFieldsProcessingtime|customFieldsLatitude|customFieldsLongitude|customFieldsName|customFieldsLocation|isShopActive|openingTime|defaultOpeningTime|isOpen|processingTime|latitude|longitude|name|location|customFields\.isShopActive|customFields\.openingTime|customFields\.defaultOpeningTime|customFields\.isOpen|customFields\.processingTime|customFields\.latitude|customFields\.longitude|customFields\.name|customFields\.location)(?=[ =),]|.{0}$) {1}
     16    0.1%    0.1%  LazyCompile: *RawSqlResultsToEntityTransformer.transformColumns /Users/vikumwijekoon/git/vendure/node_modules/typeorm/query-builder/transformer/RawSqlResultsToEntityTransformer.js:111:76
     16    0.1%    0.1%  LazyCompile: *QueryBuilder.createFromAlias /Users/vikumwijekoon/git/vendure/node_modules/typeorm/query-builder/QueryBuilder.js:405:55
     16    0.1%    0.1%  LazyCompile: *<anonymous> /Users/vikumwijekoon/git/vendure/node_modules/typeorm/query-builder/SelectQueryBuilder.js:1489:60
     15    0.1%    0.1%  LazyCompile: *resolve path.js:1067:10
     15    0.1%    0.1%  LazyCompile: *QueryExpressionMap.clone /Users/vikumwijekoon/git/vendure/node_modules/typeorm/query-builder/QueryExpressionMap.js:267:51
     14    0.1%    0.1%  LazyCompile: *willResolveField /Users/vikumwijekoon/git/vendure/node_modules/apollo-cache-control/dist/index.js:22:33
     14    0.1%    0.1%  LazyCompile: *SelectQueryBuilder.join /Users/vikumwijekoon/git/vendure/node_modules/typeorm/query-builder/SelectQueryBuilder.js:946:50
     14    0.1%    0.1%  LazyCompile: *JoinAttribute /Users/vikumwijekoon/git/vendure/node_modules/typeorm/query-builder/JoinAttribute.js:15:27
     14    0.1%    0.1%  LazyCompile: *<anonymous> /Users/vikumwijekoon/git/vendure/node_modules/typeorm/query-builder/QueryBuilder.js:923:56
     13    0.0%    0.1%  RegExp: [.*+\-?^${}()|[\]\\] {1}
     13    0.0%    0.1%  LazyCompile: *readableAddChunk internal/streams/readable.js:214:26
     13    0.0%    0.1%  LazyCompile: *createQuery /Users/vikumwijekoon/git/vendure/node_modules/mysql/lib/Connection.js:25:46
     13    0.0%    0.1%  LazyCompile: *Alias /Users/vikumwijekoon/git/vendure/node_modules/typeorm/query-builder/Alias.js:9:19
     12    0.0%    0.0%  RegExp: :(\.\.\.)?([A-Za-z0-9_.]+) {1}
     12    0.0%    0.0%  LazyCompile: *Connection.createQueryBuilder /Users/vikumwijekoon/git/vendure/node_modules/typeorm/connection/Connection.js:444:56
     11    0.0%    0.0%  LazyCompile: *QueryBuilder.createWhereExpression /Users/vikumwijekoon/git/vendure/node_modules/typeorm/query-builder/QueryBuilder.js:580:61
     11    0.0%    0.0%  LazyCompile: *<anonymous> /Users/vikumwijekoon/git/vendure/node_modules/typeorm/driver/mysql/MysqlQueryRunner.js:196:60
     10    0.0%    0.0%  LazyCompile: *Timeout.refresh internal/timers.js:208:37
     10    0.0%    0.0%  LazyCompile: *FieldPacket /Users/vikumwijekoon/git/vendure/node_modules/mysql/lib/protocol/packets/FieldPacket.js:2:21
     10    0.0%    0.0%  LazyCompile: *<anonymous> /Users/vikumwijekoon/git/vendure/node_modules/typeorm/query-builder/SelectQueryBuilder.js:799:60
      9    0.0%    0.0%  RegExp: ([ =(]|^.{0})productvariant_translations\.(base|base\.id|createdAt|updatedAt|languageCode|name|id|baseId)(?=[ =),]|.{0}$) {1}
      9    0.0%    0.0%  LazyCompile: *toBuffer /Users/vikumwijekoon/git/vendure/node_modules/mysql/lib/protocol/PacketWriter.js:16:52
      9    0.0%    0.0%  LazyCompile: *get /Users/vikumwijekoon/git/vendure/node_modules/typeorm/query-builder/JoinAttribute.js:109:23
      9    0.0%    0.0%  LazyCompile: *completeValue /Users/vikumwijekoon/git/vendure/node_modules/graphql/execution/execute.js:547:23
      9    0.0%    0.0%  LazyCompile: *SelectQueryBuilder.findEntityColumnSelects /Users/vikumwijekoon/git/vendure/node_modules/typeorm/query-builder/SelectQueryBuilder.js:1400:69
      9    0.0%    0.0%  LazyCompile: *RelationMetadata.getEntityValue /Users/vikumwijekoon/git/vendure/node_modules/typeorm/metadata/RelationMetadata.js:206:58
      9    0.0%    0.0%  LazyCompile: *<anonymous> /Users/vikumwijekoon/git/vendure/node_modules/typeorm/query-builder/SelectQueryBuilder.js:613:60
      8    0.0%    0.0%  RegExp: ([ =(]|^.{0})productvariant_productVariantPrices\.(variant|variant\.id|createdAt|updatedAt|price|id|channelId|variantId)(?=[ =),]|.{0}$) {1}
      8    0.0%    0.0%  LazyCompile: *completeObjectValue /Users/vikumwijekoon/git/vendure/node_modules/graphql/execution/execute.js:716:29
      8    0.0%    0.0%  LazyCompile: *Readable.read internal/streams/readable.js:374:35
      8    0.0%    0.0%  LazyCompile: *QueryBuilder.getWhereCondition /Users/vikumwijekoon/git/vendure/node_modules/typeorm/query-builder/QueryBuilder.js:1115:57
      8    0.0%    0.0%  LazyCompile: *<anonymous> /Users/vikumwijekoon/git/vendure/node_modules/typeorm/query-builder/SelectQueryBuilder.js:555:60
      8    0.0%    0.0%  LazyCompile: *<anonymous> /Users/vikumwijekoon/git/vendure/node_modules/typeorm/find-options/FindOptionsUtils.js:258:50
      8    0.0%    0.0%  LazyCompile: *<anonymous> /Users/vikumwijekoon/git/vendure/node_modules/typeorm/entity-manager/EntityManager.js:507:60
      7    0.0%    0.0%  LazyCompile: *traverse /Users/vikumwijekoon/git/vendure/packages/core/dist/api/common/graphql-value-transformer.js:196:13
